Host binomial,Class,Order,Family,Human-shared pathogens,Reservoir zoonotic pathogens (strict),Non human-shared pathogens,Human-shared pathogen diversity,Evidence of host status,Zoonotic agent host (strict),Pathogen richness (human-shared),Pathogen richness (not human-shared),Data sources,Num studies (PREDICTS),Num sites (PREDICTS)
Costelytra zealandica,Insecta,Coleoptera,Melolonthidae,"Hafnia alvei, Pseudomonas stutzeri, Serratia proteamaculans, Staphylococcus pasteuri, Yersinia frederiksenii",NA,"Obesumbacterium proteus, Pectobacterium carotovorum",bacteria/rickettsia,Cargo- carrier,1,5,2,EID2,3,38
Brassicogethes aeneus,Insecta,Coleoptera,Nitidulidae,Beauveria bassiana,NA,Cordyceps brongniartii,fungi,Cargo- carrier,0,1,1,EID2,3,187
Alphitobius diaperinus,Insecta,Coleoptera,Tenebrionidae,Clostridium perfringens,NA,,bacteria/rickettsia,Cargo- carrier,1,1,0,EID2,1,30
Tenebrio molitor,Insecta,Coleoptera,Tenebrionidae,Hymenolepis diminuta,NA,"Gregarina cuneata, Gregarina niphandrodes, Gregarina polymorpha",helminth,Cargo- carrier,1,1,3,"EID2, Plourde",1,27
Aedes aegypti,Insecta,Diptera,Culicidae,"Bacillus subtilis, Chikungunya, Dengue, Dirofilaria immitis, St. louis encephalitis, Venezuelan equine encephalitis, Yellow fever",NA,"Aedes aegypti densovirus, Edhazardia aedis, Meyerozyma caribbica, Pantoea stewartii","bacteria/rickettsia, virus, helminth",Cargo- carrier,1,7,4,EID2,1,7
Anopheles triannulatus,Insecta,Diptera,Culicidae,St. louis encephalitis,NA,,virus,Cargo- carrier,1,1,0,EID2,1,7
Culex coronator,Insecta,Diptera,Culicidae,"St. louis encephalitis, Venezuelan equine encephalitis",NA,Rio negro,virus,Cargo- carrier,1,2,1,EID2,1,7
Culex portesi,Insecta,Diptera,Culicidae,"Caraparu, Venezuelan equine encephalitis",NA,,virus,Cargo- carrier,1,2,0,EID2,1,7
Culex quinquefasciatus,Insecta,Diptera,Culicidae,"Acinetobacter baumannii, Acinetobacter calcoaceticus, Acinetobacter junii, Acinetobacter lwoffii, Acinetobacter radioresistens, Aeromonas enteropelogenes, Aeromonas hydrophila, Aeromonas veronii, Arthrobacter creatinolyticus, Bacillus cereus, Bacillus circulans, Bacillus flexus, Bacillus licheniformis, Bacillus subtilis, Citrobacter braakii, Citrobacter freundii, Elizabethkingia meningoseptica, Enterobacter asburiae, Enterobacter cancerogenus, Enterobacter cloacae, Enterobacter ludwigii, Enterococcus faecalis, Enterococcus gallinarum, Enterococcus hirae, Escherichia coli, Japanese encephalitis, Klebsiella oxytoca, Klebsiella pneumoniae, Kytococcus schroeteri, Lactococcus lactis, Microbacterium oxydans, Morganella morganii, Oropouche, Proteus vulgaris, Providencia alcalifaciens, Providencia rettgeri, Pseudomonas aeruginosa, Pseudomonas stutzeri, Serratia marcescens, Shigella flexneri, St. louis encephalitis, Staphylococcus caprae, Staphylococcus cohnii, Staphylococcus epidermidis, Staphylococcus haemolyticus, Staphylococcus hominis, Staphylococcus saprophyticus, Staphylococcus sciuri, Staphylococcus succinus, Staphylococcus warneri, Stenotrophomonas maltophilia, Vagococcus fluvialis, West nile",NA,"Acinetobacter beijerinckii, Acinetobacter schindleri, Acinetobacter soli, Aerococcus urinaeequi, Bacillus aryabhattai, Bacillus nealsonii, Bacillus safensis, Delftia lacustris, Enterococcus caccae, Enterococcus silesiacus, Escherichia hermannii, Exiguobacterium aurantiacum, Exiguobacterium indicum, Exiguobacterium profundum, Hazardia milleri, Janibacter melonis, Klebsiella variicola, Kocuria carniphila, Kocuria marina, Kocuria palustris, Leucobacter tardus, Lysinibacillus xylanilyticus, Microbacterium arborescens, Microbacterium imperiale, Micrococcus lylae, Micrococcus yunnanensis, Pantoea anthophila, Pantoea dispersa, Pseudomonas cuatrocienegasensis, Pseudomonas ficuserectae, Sporosarcina luteola, Staphylococcus agnetis, Staphylococcus arlettae, Staphylococcus gallinarum, Staphylococcus xylosus, Wautersiella falsenii, Wolbachia pipientis","bacteria/rickettsia, virus",Cargo- carrier,1,53,33,EID2,1,7
Psorophora ferox,Insecta,Diptera,Culicidae,"St. louis encephalitis, West nile",NA,Amblyospora ferocious,virus,Cargo- carrier,1,2,1,EID2,1,7
Drosophila melanogaster,Insecta,Diptera,Drosophilidae,Providencia alcalifaciens,NA,"Acetobacter pomorum, Drosophila c, Sigma, Spiroplasma poulsonii, Wolbachia pipientis",bacteria/rickettsia,Cargo- carrier,1,1,5,EID2,3,13
Acyrthosiphon pisum,Insecta,Hemiptera,Aphididae,Fusarium oxysporum,NA,"Buchnera aphidicola, Pandora neoaphidis, Serratia symbiotica",fungi,Cargo- carrier,0,1,3,EID2,2,168
Toxoptera aurantii,Insecta,Hemiptera,Aphididae,Rahnella aquatilis,NA,Lecanicillium attenuatum,bacteria/rickettsia,Cargo- carrier,0,1,1,EID2,1,152
Apis cerana,Insecta,Hymenoptera,Apidae,"Bacillus cereus, Bacillus pumilus, Bacillus subtilis, Bacillus thuringiensis, Escherichia coli, Providencia alcalifaciens, Serratia marcescens, Sphingomonas melonis, Staphylococcus saprophyticus, Tsukamurella tyrosinosolvens",NA,"Black queen cell, Crithidia mellificae, Erwinia tasmaniensis, Kashmir bee, Melissococcus plutonius, Microbacterium arborescens, Nosema ceranae, Sacbrood",bacteria/rickettsia,Cargo- carrier,1,10,2,EID2,1,6
Solenopsis invicta,Insecta,Hymenoptera,Formicidae,"Achromobacter xylosoxidans, Bacillus cereus, Bacillus pumilus, Bacillus subtilis, Bacillus thuringiensis, Kluyvera cryocrescens, Lactococcus garvieae, Pseudomonas aeruginosa, Serratia marcescens, Staphylococcus epidermidis, Staphylococcus hominis",NA,Kneallhazia solenopsae,bacteria/rickettsia,Cargo- carrier,1,11,1,EID2,1,12
Vespa crabro,Insecta,Hymenoptera,Vespidae,Saccharomyces cerevisiae,NA,,fungi,Cargo- carrier,0,1,0,EID2,1,8
Ostrinia nubilalis,Insecta,Lepidoptera,Crambidae,"Acremonium strictum, Aspergillus sydowii, Meyerozyma guilliermondii, Pseudomonas aeruginosa, Rhodotorula glutinis",NA,"Cryptococcus flavescens, Cryptococcus luteolus, Cryptococcus victoriae, Hannaella zeae, Hanseniaspora uvarum, Metschnikowia andauensis, Nosema pyrausta, Sporobolomyces roseus","fungi, bacteria/rickettsia",Cargo- carrier,1,5,8,EID2,2,90
Hyphantria cunea,Insecta,Lepidoptera,Erebidae,Cordyceps bassiana,NA,,fungi,Cargo- carrier,0,1,0,EID2,3,170
Lymantria dispar,Insecta,Lepidoptera,Lymantriidae,"Enterococcus faecalis, Enterococcus mundtii, Pantoea agglomerans, Pseudomonas putida, Serratia marcescens, Staphylococcus cohnii, Staphylococcus lentus, Staphylococcus saprophyticus",NA,"Cordyceps brongniartii, Cypovirus 14, Entomophaga maimaiga, Nosema serbica, Staphylococcus xylosus, Thelohania disparis",bacteria/rickettsia,Cargo- carrier,1,8,5,EID2,1,80
Spodoptera frugiperda,Insecta,Lepidoptera,Noctuidae,Bacillus thuringiensis,NA,Spodoptera frugiperda ascovirus 1a,bacteria/rickettsia,Cargo- carrier,0,1,1,EID2,1,80
Pieris brassicae,Insecta,Lepidoptera,Pieridae,Bacillus thuringiensis,NA,Artogeia rapae granulovirus,bacteria/rickettsia,Cargo- carrier,0,1,1,EID2,10,314
Pieris rapae,Insecta,Lepidoptera,Pieridae,"Beauveria bassiana, Cordyceps bassiana",NA,Furia pieris,fungi,Cargo- carrier,0,2,1,EID2,14,371
Plutella xylostella,Insecta,Lepidoptera,Plutellidae,"Cedecea davisae, Enterococcus casseliflavus, Providencia alcalifaciens, Pseudomonas stutzeri",NA,"Conidiobolus firmipilleus, Metarhizium anisopliae, Vairimorpha imperfecta, Zoophthora radicans",bacteria/rickettsia,Cargo- carrier,1,4,4,EID2,1,26
Manduca sexta,Insecta,Lepidoptera,Sphingidae,"Enterococcus faecalis, Serratia marcescens",NA,,bacteria/rickettsia,Cargo- carrier,1,2,0,EID2,1,26
Archips fumiferana,Insecta,Lepidoptera,Tortricidae,"Bacillus subtilis, Beauveria bassiana, Cordyceps bassiana, Enterococcus mundtii, Staphylococcus succinus",NA,"Choristoneura fumiferana entomopoxvirus 'l', Nosema fumiferanae","bacteria/rickettsia, fungi",Cargo- carrier,1,5,2,EID2,1,26
Canis lupus,Mammalia,Carnivora,Canidae,"Alaria americana, Alphacoronavirus 1, Ancylostoma braziliense, Ancylostoma caninum, Ancylostoma ceylanicum, Ancylostoma duodenale, Artyfechinostomum malayanum, Bartonella vinsonii, Borrelia burgdorferi, Brucella canis, Canine distemper, Capillaria aerophila, Clonorchis sinensis, Coxiella burnetii, Cryptosporidium parvum, Dioctophyma renale, Diphyllobothrium latum, Dipylidium caninum, Dirofilaria immitis, Dirofilaria repens, Echinococcus granulosus, Echinococcus multilocularis, Echinococcus vogeli, Entamoeba hartmanni, Eucoleus aerophilus, Francisella tularensis, Gnathostoma spinigerum, Leishmania infantum, Leishmania peruviana, Leptospira interrogans, Linguatula serrata, Mesocestoides lineatus, Metagonimus yokogawai, Metorchis conjunctus, Microsporum canis, Necator americanus, Opisthorchis felineus, Opisthorchis viverrini, Pasteurella multocida, Pseudamphistomum truncatum, Rabies, Rickettsia conorii, Rickettsia typhi, Schistosoma mekongi, Sparganum proliferum, Spirocerca lupi, Spirometra erinaceieuropaei, Spirometra mansoni, Spirometra mansonoides, Spirometra ranarum, Taenia crassiceps, Taenia hydatigena, Taenia multiceps, Taenia serialis, Thelazia callipaeda, Toxascaris leonina, Toxocara canis, Toxoplasma gondii, Trichinella britovi, Trichinella nativa, Trichinella spiralis, Trichuris vulpis, Uncinaria stenocephala","Alaria americana, Ancylostoma braziliense, Ancylostoma caninum, Ancylostoma ceylanicum, Ancylostoma duodenale, Artyfechinostomum malayanum, Bartonella vinsonii, Brucella canis, Capillaria aerophila, Clonorchis sinensis, Cryptosporidium parvum, Dioctophyma renale, Diphyllobothrium latum, Dipylidium caninum, Dirofilaria immitis, Dirofilaria repens, Echinococcus granulosus, Echinococcus multilocularis, Echinococcus vogeli, Eucoleus aerophilus, Gnathostoma spinigerum, Leishmania infantum, Leishmania peruviana, Linguatula serrata, Mesocestoides lineatus, Metagonimus yokogawai, Metorchis conjunctus, Microsporum canis, Necator americanus, Opisthorchis felineus, Opisthorchis viverrini, Pasteurella multocida, Pseudamphistomum truncatum, Rabies, Rickettsia conorii, Rickettsia typhi, Schistosoma mekongi, Sparganum proliferum, Spirocerca lupi, Spirometra erinaceieuropaei, Spirometra mansoni, Spirometra mansonoides, Spirometra ranarum, Taenia crassiceps, Taenia multiceps, Taenia serialis, Thelazia callipaeda, Toxascaris leonina, Toxocara canis, Trichinella britovi, Trichinella nativa, Trichinella spiralis, Trichuris vulpis, Uncinaria stenocephala","Acanthocheilonema reconditum, Actinomyces bowdenii, African horse sickness, Alaria alata, Anaplasma bovis, Anaplasma platys, Angiostrongylus vasorum, Babesia canis, Babesia conradae, Babesia rossi, Babesia vitalii, Bluetongue, Brachyspira alvinipulli, Brachyspira canis, Brachyspira pulli, Canid herpesvirus 1, Canine adenovirus, Canine calicivirus, Canine coronavirus, Canine mastadenovirus a, Canine minute, Canine oral papillomavirus, Canine parainfluenza, Canine parvovirus, Capillaria plica, Carnivore protoparvovirus 1, Cetacean morbillivirus, Chrysosporium synchronum, Clostridium piliforme, Crenosoma vulpis, Cystoisospora ohioensis, Desulfovibrio desulfuricans, Dipetalonema dracunculoides, Enterococcus canis, Equine infectious anemia, Erysipelothrix tonsillarum, Feline calicivirus, Feline panleukopenia, Filaroides hirthi, Filaroides milksi, Filaroides osleri, Hammondia heydorni, Helicobacter bizzozeronii, Helicobacter canis, Helicobacter felis, Helicobacter salomonis, Hepatozoon americanum, Hepatozoon canis, Hydatigera taeniaeformis, Isthmiophora melis, Joyeuxiella echinorhynchoides, Kocuria marina, Lagos bat, Macracanthorhynchus catulinus, Macrococcus bovicus, Mesocestoides corti, Mesocestoides litteratus, Multiceps packii, Mycoplasma canimucosale, Mycoplasma canis, Mycoplasma cynos, Mycoplasma edwardii, Mycoplasma haemocanis, Neorickettsia helminthoeca, Neorickettsia risticii, Neospora caninum, Nocardia abscessus, Oslerus osleri, Parelaphostrongylus odocoilei, Pestalotiopsis microspora, Phialosimplex chlamydosporus, Phocine distemper, Plectosphaerella cucumerina, Pyronema domesticum, Raoultella planticola, Raoultella terrigena, Sarcocystis capracanis, Sarcocystis cruzi, Sarcocystis miescheriana, Sarcocystis tenella, Slackia faecicanis, Staphylococcus auricularis, Streptococcus alactolyticus, Streptococcus lutetiensis, Streptococcus minor, Sutterella stercoricanis, Taenia krabbei, Taenia martis, Taenia omissa, Taenia ovis, Taenia pisiformis, Taenia polyacantha, Torque teno canis, Trichomonas canistomae, Trichophyton terrestre, Trypanosoma congolense, Trypanosoma evansi","fungi, bacteria/rickettsia, helminth, virus, protozoa, others",Detection/ reservoir,1,262,15,"EID2, GMPD2, Olival, Plourde",2,252
Canis mesomelas,Mammalia,Carnivora,Canidae,"Alphacoronavirus 1, Canine distemper, Ehrlichia canis, Rabies","Ehrlichia canis, Rabies","African horse sickness, Bluetongue, Canine mastadenovirus a, Carnivore protoparvovirus 1, Feline panleukopenia, Taenia madoquae","virus, bacteria/rickettsia",Detection/ reservoir,1,4,3,"EID2, GMPD2, Olival",1,84
Cerdocyon thous,Mammalia,Carnivora,Canidae,"Canine distemper, Capillaria aerophila, Dioctophyma renale, Dirofilaria immitis, Leishmania chagasi, Leishmania infantum, Rabies, Toxoplasma gondii","Capillaria aerophila, Dioctophyma renale, Leishmania chagasi, Leishmania infantum, Rabies","Canine mastadenovirus a, Carnivore protoparvovirus 1, Hepatozoon canis, Neospora caninum, Sparganum mansoni","virus, helminth, protozoa",Detection/ reservoir,1,8,3,"EID2, GMPD2, Olival",2,45
Lycalopex culpaeus,Mammalia,Carnivora,Canidae,"Dipylidium caninum, Mesocestoides lineatus, Taenia hydatigena, Taenia multiceps, Uncinaria stenocephala","Dipylidium caninum, Mesocestoides lineatus, Taenia multiceps, Uncinaria stenocephala","Carnivore protoparvovirus 1, Oncicola canis",helminth,Detection/ reservoir,1,5,2,GMPD2,1,138
Speothos venaticus,Mammalia,Carnivora,Canidae,Echinococcus vogeli,Echinococcus vogeli,,helminth,Detection/ reservoir,1,1,0,Plourde,1,7
Urocyon cinereoargenteus,Mammalia,Carnivora,Canidae,"Alaria marcianae, Anaplasma phagocytophilum, Ancylostoma braziliense, Ancylostoma caninum, Bartonella clarridgeiae, Bartonella henselae, Bartonella vinsonii, Borrelia burgdorferi, Bunyamwera, California encephalitis, Canine distemper, Capillaria aerophila, Dirofilaria immitis, Dracunculus insignis, Francisella tularensis, Leptospira interrogans, Listeria monocytogenes, Moniliformis moniliformis, Mycobacterium bovis, Rabies, Spirocerca lupi, Spirometra mansonoides, Strongyloides stercoralis, Taenia serialis, Toxoplasma gondii, Trichuris vulpis, Trypanosoma cruzi, Vesicular stomatitis indiana, Yersinia pestis, Yersinia pseudotuberculosis","Alaria marcianae, Ancylostoma braziliense, Ancylostoma caninum, Borrelia burgdorferi, Bunyamwera, Capillaria aerophila, Dirofilaria immitis, Dracunculus insignis, Francisella tularensis, Listeria monocytogenes, Moniliformis moniliformis, Mycobacterium bovis, Rabies, Spirocerca lupi, Spirometra mansonoides, Strongyloides stercoralis, Taenia serialis, Toxoplasma gondii, Trichuris vulpis, Yersinia pestis, Yersinia pseudotuberculosis","Alaria canis, Ancylostoma tubaeforme, Canine adenovirus, Canine mastadenovirus a, Carnivore protoparvovirus 1, Centrorhynchus conspectus, Crenosoma vulpis, Mesocestoides litteratus, Molineus barbatus, Multiceps packii, Neospora caninum, Pachysentis canicola, Physaloptera rara, Taenia pisiformis","helminth, bacteria/rickettsia, virus, protozoa",Detection/ reservoir,1,30,9,"EID2, GMPD2, Olival",1,28
